ds,y
19/03/2021,30
18/03/2021,25
17/03/2021,32
16/03/2021,23
15/03/2021,25
14/03/2021,25
13/03/2021,27
12/3/2021,25
11/3/2021,25
10/3/2021,19
9/3/2021,21
8/3/2021,18
7/3/2021,18
6/3/2021,26
5/3/2021,18
4/3/2021,16
3/3/2021,21
2/3/2021,18
1/3/2021,15
28/02/2021,22
27/02/2021,23
26/02/2021,19
25/02/2021,19
24/02/2021,18
23/02/2021,21
22/02/2021,24
21/02/2021,22
20/02/2021,20
19/02/2021,16
18/02/2021,21
17/02/2021,29
16/02/2021,20
15/02/2021,24
14/02/2021,20
13/02/2021,24
12/2/2021,24
11/2/2021,23
10/2/2021,32
9/2/2021,29
8/2/2021,28
7/2/2021,27
6/2/2021,27
5/2/2021,25
4/2/2021,30
3/2/2021,30
2/2/2021,41
1/2/2021,38
31/01/2021,39
30/01/2021,35
29/01/2021,44
28/01/2021,40
27/01/2021,40
26/01/2021,49
25/01/2021,42
24/01/2021,34
23/01/2021,54
22/01/2021,36
21/01/2021,52
20/01/2021,35
19/01/2021,39
18/01/2021,51
17/01/2021,42
16/01/2021,51
15/01/2021,52
14/01/2021,48
13/01/2021,58
12/1/2021,56
11/1/2021,58
10/1/2021,48
9/1/2021,31
8/1/2021,47
7/1/2021,59
6/1/2021,54
5/1/2021,48
4/1/2021,64
3/1/2021,45
2/1/2021,53
1/1/2021,51
31/12/2020,58
30/12/2020,67
29/12/2020,50
28/12/2020,73
27/12/2020,45
26/12/2020,80
25/12/2020,54
24/12/2020,69
23/12/2020,77
22/12/2020,82
21/12/2020,64
20/12/2020,72
19/12/2020,70
18/12/2020,85
17/12/2020,91
16/12/2020,87
15/12/2020,84
14/12/2020,97
13/12/2020,87
12/12/2020,77
11/12/2020,117
10/12/2020,103
9/12/2020,111
8/12/2020,101
7/12/2020,115
6/12/2020,93
5/12/2020,108
4/12/2020,115
3/12/2020,123
2/12/2020,117
1/12/2020,121
30/11/2020,113
29/11/2020,102
28/11/2020,109
27/11/2020,110
26/11/2020,105
25/11/2020,110
24/11/2020,96
23/11/2020,105
22/11/2020,87
21/11/2020,103
20/11/2020,112
19/11/2020,102
18/11/2020,83
17/11/2020,96
16/11/2020,92
15/11/2020,81
14/11/2020,83
13/11/2020,93
12/11/2020,81
11/11/2020,76
10/11/2020,64
9/11/2020,74
8/11/2020,51
7/11/2020,69
6/11/2020,43
5/11/2020,59
4/11/2020,55
3/11/2020,53
2/11/2020,38
1/11/2020,32
31/10/2020,47
30/10/2020,36
29/10/2020,36
28/10/2020,32
27/10/2020,28
26/10/2020,25
25/10/2020,18
24/10/2020,12
23/10/2020,12
22/10/2020,19
