ds,y
19/03/2021,11
18/03/2021,18
17/03/2021,19
16/03/2021,15
15/03/2021,21
14/03/2021,22
13/03/2021,19
12/03/2021,19
11/03/2021,16
10/03/2021,21
09/03/2021,20
08/03/2021,24
07/03/2021,17
06/03/2021,12
05/03/2021,15
04/03/2021,19
03/03/2021,19
02/03/2021,23
01/03/2021,24
28/02/2021,25
27/02/2021,19
26/02/2021,18
25/02/2021,20
24/02/2021,26
23/02/2021,13
22/02/2021,25
21/02/2021,21
20/02/2021,29
19/02/2021,25
18/02/2021,18
17/02/2021,34
16/02/2021,22
15/02/2021,23
14/02/2021,28
13/02/2021,25
12/02/2021,28
11/02/2021,33
10/02/2021,27
09/02/2021,25
08/02/2021,39
07/02/2021,29
06/02/2021,33
05/02/2021,36
04/02/2021,30
03/02/2021,52
02/02/2021,43
01/02/2021,46
31/01/2021,39
30/01/2021,57
29/01/2021,58
28/01/2021,55
27/01/2021,54
26/01/2021,67
25/01/2021,59
24/01/2021,51
23/01/2021,64
22/01/2021,59
21/01/2021,88
20/01/2021,87
19/01/2021,92
18/01/2021,72
17/01/2021,61
16/01/2021,83
15/01/2021,90
14/01/2021,95
13/01/2021,91
12/01/2021,89
11/01/2021,89
10/01/2021,92
09/01/2021,89
08/01/2021,99
07/01/2021,103
06/01/2021,82
05/01/2021,93
04/01/2021,86
03/01/2021,83
02/01/2021,99
01/01/2021,87
31/12/2020,110
30/12/2020,90
29/12/2020,73
28/12/2020,121
27/12/2020,99
26/12/2020,94
25/12/2020,106
24/12/2020,88
23/12/2020,87
22/12/2020,93
21/12/2020,76
20/12/2020,94
19/12/2020,80
18/12/2020,71
17/12/2020,116
16/12/2020,102
15/12/2020,88
14/12/2020,94
13/12/2020,71
12/12/2020,68
11/12/2020,89
10/12/2020,86
09/12/2020,75
08/12/2020,54
07/12/2020,58
06/12/2020,81
05/12/2020,43
04/12/2020,70
03/12/2020,77
02/12/2020,71
01/12/2020,67
30/11/2020,67
29/11/2020,50
28/11/2020,50
27/11/2020,65
26/11/2020,60
25/11/2020,69
24/11/2020,68
23/11/2020,55
22/11/2020,59
21/11/2020,51
20/11/2020,45
19/11/2020,46
18/11/2020,50
17/11/2020,44
16/11/2020,37
15/11/2020,39
14/11/2020,38
13/11/2020,33
12/11/2020,28
11/11/2020,27
10/11/2020,35
09/11/2020,35
08/11/2020,22
07/11/2020,27
06/11/2020,25
05/11/2020,22
04/11/2020,21
03/11/2020,20
02/11/2020,20
01/11/2020,22
31/10/2020,13
30/10/2020,9
29/10/2020,9
28/10/2020,9
27/10/2020,9
26/10/2020,11
25/10/2020,8
24/10/2020,8
23/10/2020,7
22/10/2020,9
21/10/2020,3
20/10/2020,4
19/10/2020,4
18/10/2020,1
17/10/2020,4
16/10/2020,2
15/10/2020,3
14/10/2020,2
13/10/2020,1
12/10/2020,3
11/10/2020,2
10/10/2020,5
09/10/2020,5
08/10/2020,1
07/10/2020,3
06/10/2020,4
05/10/2020,2
04/10/2020,3
03/10/2020,3
02/10/2020,3
01/10/2020,1
30/09/2020,4
29/09/2020,2
28/09/2020,1
27/09/2020,1
26/09/2020,2
25/09/2020,4
24/09/2020,1
23/09/2020,0
22/09/2020,1
21/09/2020,2
20/09/2020,4
19/09/2020,1
18/09/2020,1
17/09/2020,1
16/09/2020,2
15/09/2020,1
14/09/2020,2
13/09/2020,2
12/09/2020,1
11/09/2020,4
10/09/2020,2
09/09/2020,2
08/09/2020,1
07/09/2020,1
06/09/2020,3
05/09/2020,0
04/09/2020,0
03/09/2020,2
02/09/2020,2
01/09/2020,3
31/08/2020,2
30/08/2020,3
29/08/2020,1
28/08/2020,1
27/08/2020,1
26/08/2020,2
25/08/2020,1
24/08/2020,1
23/08/2020,3
22/08/2020,1
21/08/2020,5
20/08/2020,2
19/08/2020,1
18/08/2020,4
17/08/2020,3
16/08/2020,0
15/08/2020,1
14/08/2020,1
13/08/2020,5
12/08/2020,3
11/08/2020,4
10/08/2020,2
09/08/2020,4
08/08/2020,1
07/08/2020,2
06/08/2020,4
05/08/2020,1
04/08/2020,2
03/08/2020,4
02/08/2020,3
01/08/2020,2
31/07/2020,2
30/07/2020,0
29/07/2020,1
28/07/2020,4
27/07/2020,6
26/07/2020,2
25/07/2020,1
24/07/2020,3
23/07/2020,5
22/07/2020,6
21/07/2020,7
20/07/2020,6
19/07/2020,7
18/07/2020,11
17/07/2020,7
16/07/2020,6
15/07/2020,6
14/07/2020,8
13/07/2020,12
12/07/2020,8
11/07/2020,10
10/07/2020,14
09/07/2020,15
08/07/2020,10
07/07/2020,12
06/07/2020,15
05/07/2020,9
04/07/2020,15
03/07/2020,8
02/07/2020,15
01/07/2020,15
30/06/2020,20
29/06/2020,16
28/06/2020,23
27/06/2020,14
26/06/2020,11
25/06/2020,23
24/06/2020,22
23/06/2020,25
22/06/2020,20
21/06/2020,22
20/06/2020,29
19/06/2020,30
18/06/2020,29
17/06/2020,32
16/06/2020,28
15/06/2020,30
14/06/2020,27
13/06/2020,33
12/06/2020,29
11/06/2020,35
10/06/2020,39
09/06/2020,33
08/06/2020,38
07/06/2020,33
06/06/2020,29
05/06/2020,37
04/06/2020,44
03/06/2020,28
02/06/2020,36
01/06/2020,39
31/05/2020,46
30/05/2020,38
29/05/2020,40
28/05/2020,40
27/05/2020,38
26/05/2020,28
25/05/2020,42
24/05/2020,44
23/05/2020,55
22/05/2020,56
21/05/2020,53
20/05/2020,52
19/05/2020,41
18/05/2020,59
17/05/2020,52
16/05/2020,48
15/05/2020,58
14/05/2020,46
13/05/2020,50
12/05/2020,61
11/05/2020,65
10/05/2020,73
09/05/2020,68
08/05/2020,60
07/05/2020,80
06/05/2020,73
05/05/2020,72
04/05/2020,83
03/05/2020,75
02/05/2020,72
01/05/2020,78
30/04/2020,78
29/04/2020,83
28/04/2020,83
27/04/2020,74
26/04/2020,74
25/04/2020,73
24/04/2020,89
23/04/2020,86
22/04/2020,77
21/04/2020,62
20/04/2020,85
19/04/2020,87
18/04/2020,86
17/04/2020,83
16/04/2020,111
15/04/2020,115
14/04/2020,91
13/04/2020,84
12/04/2020,97
11/04/2020,102
10/04/2020,90
09/04/2020,86
08/04/2020,115
07/04/2020,84
06/04/2020,90
05/04/2020,85
04/04/2020,70
03/04/2020,80
02/04/2020,70
01/04/2020,53
31/03/2020,48
30/03/2020,45
29/03/2020,38
28/03/2020,35
27/03/2020,32
26/03/2020,31
25/03/2020,22
24/03/2020,21
23/03/2020,11
22/03/2020,11
21/03/2020,8
20/03/2020,9
19/03/2020,7
18/03/2020,6
17/03/2020,1
16/03/2020,2
15/03/2020,2
14/03/2020,1
13/03/2020,1
12/03/2020,0
11/03/2020,1
10/03/2020,0
09/03/2020,0
08/03/2020,0
07/03/2020,0
06/03/2020,0
05/03/2020,0
04/03/2020,0
03/03/2020,0
02/03/2020,0
01/03/2020,0
29/02/2020,0
28/02/2020,0
27/02/2020,0
26/02/2020,0
25/02/2020,0
24/02/2020,0
23/02/2020,0
22/02/2020,0
21/02/2020,0
20/02/2020,0
19/02/2020,0
18/02/2020,0
17/02/2020,0
16/02/2020,0
15/02/2020,0
14/02/2020,0
13/02/2020,0
12/02/2020,0
11/02/2020,0
10/02/2020,0
09/02/2020,0
08/02/2020,0
07/02/2020,0
06/02/2020,0
05/02/2020,0
04/02/2020,0
